timestamp,d_q,d_v,d_p
15.900000,0.009346,0.050897,0.400079
16.000000,0.009365,0.050995,0.404915
16.100000,0.009360,0.050592,0.409706
16.200000,0.009397,0.049905,0.414444
16.300000,0.009437,0.049991,0.419143
16.400000,0.009420,0.050136,0.423820
16.500000,0.009386,0.049385,0.428457
16.600000,0.009398,0.049420,0.433033
16.700000,0.009425,0.048848,0.437558
16.800000,0.009421,0.048579,0.442051
16.900000,0.009404,0.049044,0.446529
17.000000,0.009412,0.048588,0.450996
17.100000,0.009406,0.049000,0.455442
17.200000,0.009408,0.048859,0.459892
17.300000,0.009404,0.048641,0.464324
17.400000,0.009429,0.047963,0.468719
17.500000,0.009424,0.047725,0.473058
17.600000,0.009402,0.048058,0.477408
17.700000,0.009378,0.047953,0.481752
17.800000,0.009406,0.048053,0.486078
17.900000,0.009392,0.047746,0.490396
18.000000,0.009424,0.047442,0.494685
18.100000,0.009377,0.046273,0.498893
18.200000,0.009402,0.046299,0.503041
18.300000,0.009410,0.045585,0.507151
18.400000,0.009405,0.046018,0.511249
18.500000,0.009377,0.045977,0.515377
18.600000,0.009375,0.045697,0.519471
18.700000,0.009363,0.045896,0.523536
18.800000,0.009381,0.046210,0.527627
18.900000,0.009401,0.045710,0.531705
19.000000,0.009465,0.045627,0.535765
19.100000,0.009470,0.045837,0.539855
19.200000,0.009473,0.045455,0.543966
19.300000,0.009495,0.044886,0.548046
19.400000,0.009486,0.044513,0.552131
19.500000,0.009481,0.044882,0.556218
19.600000,0.009525,0.044592,0.560341
19.700000,0.009577,0.044357,0.564469
19.800000,0.009598,0.044210,0.568619
19.900000,0.009606,0.043875,0.572761
20.000000,0.009585,0.043685,0.576884
20.100000,0.009634,0.043710,0.581023
20.200000,0.009582,0.043431,0.585171
20.300000,0.009562,0.043648,0.589320
20.400000,0.009550,0.043322,0.593464
20.500000,0.009561,0.043129,0.597587
20.600000,0.009571,0.042800,0.601724
20.700000,0.009601,0.042585,0.605846
20.800000,0.009615,0.042792,0.609989
20.900000,0.009614,0.042327,0.614126
21.000000,0.009650,0.042481,0.618265
21.100000,0.009646,0.042694,0.622430
21.200000,0.009694,0.042692,0.626620
21.300000,0.009671,0.042578,0.630820
21.400000,0.009679,0.042626,0.635045
21.500000,0.009719,0.042653,0.639292
21.600000,0.009720,0.042237,0.643515
21.700000,0.009736,0.042654,0.647732
21.800000,0.009754,0.043227,0.651990
21.900000,0.009726,0.042994,0.656258
22.000000,0.009714,0.043536,0.660528
22.100000,0.009706,0.044123,0.664860
22.200000,0.009668,0.045149,0.669270
22.300000,0.009675,0.045778,0.673757
22.400000,0.009684,0.046850,0.678323
22.500000,0.009688,0.047663,0.682997
22.600000,0.009669,0.048234,0.687721
22.700000,0.009675,0.049166,0.692532
22.800000,0.009651,0.050014,0.697455
22.900000,0.009634,0.050627,0.702456
23.000000,0.009641,0.051833,0.707552
23.100000,0.009637,0.052820,0.712776
23.200000,0.009629,0.053501,0.718076
23.300000,0.009644,0.054372,0.723442
23.400000,0.009616,0.055218,0.728889
23.500000,0.009606,0.056474,0.734426
23.600000,0.009647,0.057174,0.740083
23.700000,0.009690,0.058395,0.745798
23.800000,0.009699,0.058629,0.751586
23.900000,0.009684,0.059459,0.757421
24.000000,0.009664,0.060128,0.763331
24.100000,0.009647,0.060652,0.769299
24.200000,0.009672,0.061501,0.775303
24.300000,0.009695,0.062206,0.781399
24.400000,0.009648,0.063238,0.787579
24.500000,0.009685,0.064298,0.793873
24.600000,0.009697,0.064088,0.800213
24.700000,0.009682,0.064641,0.806584
24.800000,0.009621,0.064963,0.813043
24.900000,0.009639,0.066113,0.819573
25.000000,0.009627,0.067176,0.826223
25.100000,0.009627,0.068310,0.833000
25.200000,0.009656,0.069525,0.839889
25.300000,0.009607,0.070928,0.846915
25.400000,0.009596,0.072428,0.854091
25.500000,0.009589,0.073880,0.861390
25.600000,0.009586,0.075411,0.868836
25.700000,0.009585,0.076646,0.876435
25.800000,0.009522,0.077092,0.884117
25.900000,0.009454,0.078080,0.891865
26.000000,0.009441,0.078826,0.899705
26.100000,0.009411,0.079672,0.907609
26.200000,0.009376,0.080535,0.915613
26.300000,0.009405,0.080914,0.923680
26.400000,0.009378,0.081266,0.931783
26.500000,0.009417,0.081941,0.939946
26.600000,0.009410,0.082670,0.948174
26.700000,0.009376,0.083382,0.956488
26.800000,0.009409,0.084135,0.964848
26.900000,0.009426,0.085057,0.973285
27.000000,0.009457,0.086105,0.981821
27.100000,0.009475,0.086937,0.990453
27.200000,0.009478,0.088023,0.999177
27.300000,0.009421,0.089340,1.008003
27.400000,0.009385,0.090145,1.016913
27.500000,0.009397,0.091176,1.025915
27.600000,0.009435,0.091616,1.034982
27.700000,0.009423,0.092114,1.044089
27.800000,0.009477,0.092452,1.053240
27.900000,0.009483,0.093149,1.062425
28.000000,0.009540,0.094127,1.071701
28.100000,0.009534,0.094229,1.081030
28.200000,0.009558,0.094555,1.090359
28.300000,0.009627,0.094878,1.099732
28.400000,0.009590,0.095922,1.109183
28.500000,0.009618,0.096436,1.118720
28.600000,0.009588,0.097237,1.128327
28.700000,0.009612,0.097365,1.137961
28.800000,0.009626,0.097551,1.147628
28.900000,0.009610,0.097582,1.157316
29.000000,0.009577,0.097522,1.166976
29.100000,0.009536,0.097970,1.176658
29.200000,0.009563,0.098846,1.186386
29.300000,0.009551,0.099087,1.196169
29.400000,0.009510,0.098779,1.205937
29.500000,0.009492,0.098782,1.215671
29.600000,0.009393,0.099130,1.225414
29.700000,0.009413,0.098939,1.235165
29.800000,0.009430,0.098963,1.244883
29.900000,0.009405,0.098545,1.254584
30.000000,0.009377,0.098567,1.264254
30.100000,0.009382,0.098487,1.273939
30.200000,0.009374,0.098050,1.283590
30.300000,0.009409,0.097816,1.293208
30.400000,0.009438,0.097284,1.302778
30.500000,0.009433,0.097639,1.312346
30.600000,0.009414,0.097710,1.321947
30.700000,0.009419,0.098087,1.331560
30.800000,0.009437,0.098239,1.341211
30.900000,0.009417,0.098324,1.350834
31.000000,0.009364,0.098063,1.360442
31.100000,0.009340,0.097895,1.370046
31.200000,0.009344,0.097602,1.379607
31.300000,0.009378,0.097448,1.389162
31.400000,0.009403,0.097779,1.398714
31.500000,0.009439,0.098053,1.408300
31.600000,0.009420,0.098102,1.417897
31.700000,0.009438,0.097924,1.427476
31.800000,0.009443,0.097416,1.437009
31.900000,0.009463,0.096708,1.446501
32.000000,0.009429,0.095967,1.455935
32.100000,0.009443,0.095316,1.465328
32.200000,0.009446,0.094771,1.474656
32.300000,0.009487,0.094471,1.483953
32.400000,0.009475,0.094272,1.493238
32.500000,0.009511,0.093787,1.502497
32.600000,0.009496,0.093203,1.511702
32.700000,0.009503,0.092996,1.520882
32.800000,0.009538,0.092815,1.530030
32.900000,0.009550,0.092660,1.539170
33.000000,0.009585,0.092853,1.548307
33.100000,0.009596,0.092497,1.557448
33.200000,0.009684,0.092342,1.566579
33.300000,0.009712,0.092385,1.575680
33.400000,0.009758,0.092344,1.584776
33.500000,0.009693,0.091882,1.593865
33.600000,0.009671,0.091876,1.602935
33.700000,0.009648,0.091656,1.612015
33.800000,0.009674,0.091468,1.621072
33.900000,0.009726,0.091092,1.630100
34.000000,0.009748,0.090719,1.639107
34.100000,0.009763,0.091140,1.648107
34.200000,0.009789,0.091298,1.657136
34.300000,0.009783,0.091721,1.666173
34.400000,0.009753,0.091788,1.675264
34.500000,0.009730,0.092380,1.684373
34.600000,0.009748,0.092997,1.693549
34.700000,0.009791,0.093374,1.702774
34.800000,0.009777,0.093487,1.712016
34.900000,0.009746,0.094221,1.721273
35.000000,0.009770,0.094789,1.730626
35.100000,0.009777,0.095007,1.740027
35.200000,0.009829,0.095169,1.749437
35.300000,0.009859,0.095714,1.758895
35.400000,0.009855,0.095765,1.768412
35.500000,0.009815,0.096344,1.777959
35.600000,0.009873,0.096967,1.787594
35.700000,0.009898,0.097256,1.797285
35.800000,0.009871,0.098105,1.807037
35.900000,0.009914,0.099152,1.816879
36.000000,0.009910,0.099762,1.826819
36.100000,0.009938,0.100293,1.836811
36.200000,0.009930,0.101348,1.846912
36.300000,0.009947,0.102144,1.857083
36.400000,0.009903,0.103549,1.867338
36.500000,0.009877,0.105040,1.877749
36.600000,0.009833,0.104908,1.888230
36.700000,0.009852,0.106263,1.898778
36.800000,0.009836,0.107436,1.909430
36.900000,0.009838,0.108701,1.920223
37.000000,0.009869,0.109914,1.931121
37.100000,0.009922,0.110570,1.942106
37.200000,0.009947,0.111240,1.953151
37.300000,0.009942,0.112249,1.964289
37.400000,0.009971,0.113720,1.975538
37.500000,0.001078,0.124822,2.030479
37.600000,0.001098,0.125523,2.042935
37.700000,0.001094,0.125703,2.055433
37.800000,0.001074,0.125845,2.067946
37.900000,0.001102,0.126089,2.080479
38.000000,0.001164,0.126097,2.093034
38.100000,0.001117,0.127204,2.105645
38.200000,0.001185,0.127203,2.118314
38.300000,0.001200,0.127919,2.130998
38.400000,0.001248,0.128060,2.143726
38.500000,0.001230,0.128797,2.156508
38.600000,0.001175,0.129596,2.169369
38.700000,0.001163,0.129967,2.182291
38.800000,0.001173,0.130449,2.195259
38.900000,0.001110,0.131022,2.208308
39.000000,0.001103,0.131165,2.221346
39.100000,0.001117,0.131651,2.234436
39.200000,0.001128,0.132215,2.247589
39.300000,0.001181,0.132238,2.260769
39.400000,0.001186,0.132552,2.273966
39.500000,0.001180,0.132658,2.287188
39.600000,0.001183,0.133116,2.300452
39.700000,0.001213,0.133353,2.313754
39.800000,0.001224,0.133985,2.327090
39.900000,0.001284,0.134530,2.340489
